Avidyne Engine Data Log
9/11/05 23:35:09
"TIME","LAT","LON","E1","E2","E3","E4","E5","E6","C1","C2","C3","C4","C5","C6","OILT","OILP","RPM","OAT","MAP","FF","USED","AMP1","AMP2","AMPB","MBUS","EBUS"
23:35:06,0.0000,0.0000, 0,0,0,0,0,0, 0,0,0,0,0,0, -19,0,0,-40, 0.0,0.0,0.0, 0,0,-99,0.0,0.0
23:35:12,0.0000,0.0000, 915,918,981,920,934,974, 136,194,139,127,125,125, 143,44,1100,25, 11.2,2.4,0.0, 15,0,-99,25.2,24.8
23:35:18,0.0000,0.0000, 925,927,993,929,947,984, 138,198,140,129,128,128, 143,44,1110,25, 11.2,2.4,0.0, 15,0,-99,25.3,24.8
23:35:24,0.0000,0.0000, 935,940,1001,944,955,995, 143,201,143,132,131,132, 144,44,1100,25, 11.3,2.4,0.0, 15,0,-99,25.2,24.8
23:35:30,0.0000,0.0000, 942,945,1008,952,968,1003, 145,203,147,134,135,134, 144,44,1110,25, 11.2,2.5,0.0, 15,0,-99,25.2,24.8
23:35:36,0.0000,0.0000, 945,953,1010,963,974,1010, 148,207,150,137,138,138, 145,44,1120,24, 11.3,2.5,0.0, 16,0,-99,25.2,24.8
23:35:42,0.0000,0.0000, 966,975,1031,986,997,1035, 152,217,156,142,143,144, 145,46,1280,24, 13.0,3.1,0.0, 19,0,-99,25.6,25.0
23:35:48,0.0000,0.0000, 1009,1019,1068,1046,1040,1090, 156,220,159,145,146,145, 146,47,1370,24, 12.2,3.9,0.0, 27,0,-99,26.0,25.4
23:35:54,0.0000,0.0000, 1013,1027,1061,1069,1043,1107, 160,224,162,148,150,149, 146,46,1310,24, 11.8,3.6,0.0, 25,0,-99,26.0,25.4
23:36:00,0.0000,0.0000, 1006,1016,1053,1061,1040,1096, 164,229,167,153,154,154, 147,45,1220,24, 11.8,3.0,0.0, 21,0,-99,25.8,25.3
23:36:06,36.4929,-121.6286, 998,1012,1047,1049,1038,1086, 166,233,169,156,157,157, 147,44,1160,24, 11.6,2.7,0.0, 18,0,-99,25.6,25.1
23:36:12,36.4931,-121.6286, 1003,1013,1057,1035,1039,1073, 169,235,173,158,160,160, 148,44,1120,24, 11.6,2.7,0.0, 17,0,-99,25.5,25.0
23:36:18,36.4934,-121.6283, 1000,1013,1051,1034,1035,1078, 173,238,176,163,163,165, 148,44,1160,24, 11.6,2.7,0.1, 17,0,-99,25.4,24.9
23:36:24,36.4936,-121.6279, 998,1013,1047,1038,1030,1087, 175,241,179,166,167,168, 149,44,1150,24, 11.7,2.7,0.1, 17,0,-99,25.4,24.9
23:36:30,36.4938,-121.6276, 995,1014,1041,1043,1030,1090, 180,244,183,169,171,172, 149,44,1150,24, 11.7,2.7,0.1, 17,0,-99,25.4,24.9
23:36:36,36.4939,-121.6271, 996,1017,1036,1043,1033,1090, 181,247,185,172,174,173, 150,44,1160,24, 11.7,2.7,0.1, 17,0,-99,25.4,24.9
23:36:42,36.4941,-121.6262, 995,1013,1032,1040,1033,1092, 183,250,187,175,176,177, 150,43,1150,24, 11.7,2.7,0.1, 17,0,-99,25.4,24.9
23:36:48,36.4943,-121.6255, 997,1014,1030,1038,1033,1093, 187,253,191,178,179,181, 151,43,1160,24, 11.7,2.7,0.1, 17,0,-99,25.4,24.9
23:37:00,36.4944,-121.6248, 998,1017,1032,1036,1035,1092, 189,254,192,180,182,182, 152,43,1160,24, 11.7,2.7,0.1, 18,0,-99,25.4,24.9
23:37:06,36.4946,-121.6241, 993,1017,1025,1035,1033,1090, 191,258,196,182,185,185, 152,43,1120,24, 11.4,2.6,0.1, 17,0,-99,25.3,24.9
23:37:12,36.4950,-121.6231, 983,1008,1009,1017,1015,1074, 193,260,198,185,187,187, 153,42,1060,24, 11.4,2.3,0.1, 13,0,-99,25.1,24.8
23:37:18,36.4951,-121.6222, 978,1003,1002,1003,1009,1066, 195,261,199,187,189,189, 153,42,1070,24, 11.4,2.3,0.1, 13,0,-99,25.1,24.8
23:37:24,36.4953,-121.6214, 975,1000,993,1000,1000,1060, 197,264,202,191,191,193, 153,42,1060,24, 11.3,2.3,0.1, 13,0,-99,25.1,24.8
23:37:30,36.4956,-121.6204, 963,987,973,985,979,1042, 198,265,203,192,193,194, 154,41,1000,24, 11.1,2.1,0.1, 10,0,-99,25.0,24.7
23:37:36,36.4958,-121.6195, 954,973,960,979,967,1028, 199,267,204,195,195,196, 154,41,1000,24, 11.2,2.1,0.1, 10,0,-99,25.0,24.7
23:37:42,36.4960,-121.6188, 955,963,953,973,960,1023, 200,270,205,196,196,198, 155,41,990,24, 11.2,2.1,0.1, 10,0,-99,24.9,24.7
23:37:48,36.4962,-121.6183, 953,961,948,966,955,1016, 202,272,207,199,198,201, 155,41,990,24, 11.3,2.1,0.1, 10,0,-99,25.0,24.7
23:37:54,36.4963,-121.6180, 943,959,952,975,953,1031, 204,275,209,200,200,202, 155,41,980,24, 11.3,2.1,0.1, 9,0,-99,25.0,24.7
23:38:00,36.4965,-121.6180, 943,953,948,968,952,1033, 204,275,208,200,199,203, 155,40,970,24, 11.3,2.0,0.1, 9,0,-99,24.9,24.6
23:38:06,36.4965,-121.6180, 1010,1033,1027,1048,1035,1108, 205,301,210,200,200,204, 157,48,1740,24, 15.5,6.4,0.1, 29,0,-99,26.4,26.3
23:38:12,36.4965,-121.6180, 1088,1116,1114,1139,1118,1185, 207,393,214,204,204,206, 157,48,1690,24, 14.5,6.8,0.1, 37,0,-99,27.5,26.8
23:38:18,36.4965,-121.6180, 1130,1158,1158,1183,1157,1229, 210,430,217,206,206,210, 157,47,1690,24, 14.0,6.5,0.2, 37,0,-99,27.9,27.2
23:38:24,36.4965,-121.6180, 1084,1105,1096,1117,1099,1177, 213,500,219,210,211,212, 156,40,1020,24, 11.3,2.4,0.2, 16,0,-99,26.3,25.9
23:38:30,36.4965,-121.6180, 1033,1040,1043,1063,1043,1124, 215,500,221,211,212,215, 157,40,1020,25, 11.4,2.1,0.2, 11,0,-99,25.7,25.3
23:38:36,36.4965,-121.6180, 1008,1016,1018,1037,1017,1103, 216,500,222,213,213,217, 157,40,1020,25, 11.4,2.1,0.2, 11,0,-99,25.4,25.0
23:38:42,36.4965,-121.6180, 993,1001,1009,1026,1003,1092, 218,0,224,215,215,219, 157,40,1020,25, 11.4,2.1,0.2, 11,0,-99,25.3,24.8
23:38:48,36.4965,-121.6180, 989,997,1003,1023,995,1082, 218,0,225,217,216,220, 157,40,1020,25, 11.5,2.2,0.2, 12,0,-99,25.0,24.6
23:38:54,36.4965,-121.6180, 985,989,998,1021,990,1078, 221,0,228,220,219,223, 157,40,1030,25, 11.4,2.1,0.2, 12,0,-99,25.1,24.7
23:39:00,36.4965,-121.6180, 1007,1010,1028,1049,1021,1100, 222,0,227,221,220,225, 158,43,1300,25, 13.1,3.1,0.2, 19,0,-99,25.6,25.0
23:39:06,36.4965,-121.6180, 1053,1055,1079,1100,1079,1137, 225,0,230,223,223,227, 158,43,1380,25, 12.9,3.9,0.2, 27,0,-99,26.0,25.4
23:39:12,36.4967,-121.6181, 1073,1077,1103,1129,1100,1155, 227,0,232,225,224,228, 158,43,1390,25, 12.8,4.0,0.2, 28,0,-99,26.2,25.6
23:39:18,36.4970,-121.6183, 1079,1091,1107,1146,1108,1167, 228,0,236,228,226,232, 158,43,1390,25, 12.7,4.0,0.2, 28,0,-99,26.4,25.7
23:39:24,36.4970,-121.6188, 1119,1143,1148,1196,1147,1223, 230,357,236,228,226,232, 159,52,2030,25, 17.2,9.5,0.2, 38,0,-99,28.0,28.1
23:39:30,36.4968,-121.6195, 1195,1215,1212,1263,1212,1279, 233,424,239,231,231,236, 160,57,2520,25, 25.6,22.4,0.2, 31,0,-99,28.1,28.5
23:39:36,36.4963,-121.6214, 1264,1273,1266,1308,1266,1321, 238,480,245,234,235,240, 161,57,2700,25, 26.2,26.2,0.3, 29,0,-99,28.1,28.6
23:39:42,36.4956,-121.6236, 1290,1297,1287,1329,1294,1341, 244,400,252,236,240,246, 162,56,2700,26, 26.2,26.4,0.3, 28,0,-99,28.1,28.6
23:39:48,36.4950,-121.6262, 1303,1309,1300,1340,1310,1350, 250,406,261,240,248,252, 163,56,2700,26, 26.3,26.2,0.4, 28,0,-99,28.1,28.6
23:39:54,36.4943,-121.6289, 1313,1318,1308,1347,1317,1360, 257,420,269,244,255,257, 164,55,2690,25, 26.3,26.1,0.4, 27,0,-99,28.2,28.6
23:40:00,36.4936,-121.6319, 1315,1319,1310,1352,1322,1367, 264,419,276,249,263,263, 164,55,2690,25, 26.3,26.1,0.5, 26,0,-99,28.1,28.6
23:40:12,36.4927,-121.6349, 1318,1320,1311,1352,1324,1365, 270,425,283,255,270,268, 165,54,2690,25, 26.3,26.1,0.5, 25,0,-99,28.2,28.6
23:40:18,36.4919,-121.6382, 1317,1318,1310,1351,1323,1362, 277,441,290,259,276,273, 166,54,2690,25, 26.2,26.1,0.6, 25,0,-99,28.2,28.6
23:40:24,36.4910,-121.6420, 1314,1318,1307,1350,1322,1360, 281,429,296,264,282,278, 167,54,2690,25, 26.1,26.1,0.6, 24,0,-99,28.2,28.6
23:40:30,36.4908,-121.6452, 1311,1314,1303,1346,1318,1355, 286,432,299,269,285,284, 169,53,2680,24, 26.0,26.1,0.7, 24,0,-99,28.2,28.6
23:40:36,36.4919,-121.6485, 1306,1311,1299,1342,1314,1351, 290,440,305,274,289,288, 170,53,2690,24, 25.9,26.1,0.7, 23,0,-99,28.1,28.6
23:40:42,36.4941,-121.6513, 1304,1309,1297,1340,1314,1350, 295,450,308,277,294,291, 171,53,2680,24, 25.8,26.0,0.7, 23,0,-99,28.2,28.6
23:40:48,36.4972,-121.6540, 1303,1307,1295,1339,1310,1346, 299,462,311,281,297,294, 173,52,2680,23, 25.8,26.1,0.8, 22,0,-99,28.1,28.6
23:40:54,36.5001,-121.6562, 1288,1290,1280,1321,1295,1332, 303,497,315,285,300,298, 174,50,2510,23, 25.8,23.8,0.8, 22,0,-99,28.2,28.6
23:41:00,36.5029,-121.6585, 1282,1280,1272,1314,1282,1327, 306,470,316,288,302,301, 175,50,2510,23, 25.8,23.8,0.9, 22,0,-99,28.1,28.6
23:41:06,36.5058,-121.6607, 1275,1274,1264,1305,1277,1318, 309,466,318,291,304,305, 176,50,2510,23, 25.7,23.8,0.9, 21,0,-99,28.2,28.6
23:41:12,36.5092,-121.6631, 1270,1268,1257,1301,1270,1314, 313,466,320,294,306,307, 177,49,2490,22, 25.6,23.5,1.0, 21,0,-99,28.2,28.6
23:41:18,36.5120,-121.6653, 1287,1290,1277,1318,1287,1333, 316,465,322,296,306,309, 178,49,2490,22, 25.5,22.1,1.0, 20,0,-99,28.1,28.6
23:41:24,36.5147,-121.6676, 1293,1299,1286,1327,1297,1342, 316,466,323,299,308,312, 179,49,2490,22, 25.4,22.0,1.0, 19,0,-99,28.2,28.6
23:41:30,36.5174,-121.6698, 1297,1301,1289,1330,1299,1344, 319,468,327,301,309,314, 180,49,2490,22, 25.4,22.1,1.1, 19,0,-99,28.2,28.6
23:41:36,36.5205,-121.6727, 1295,1300,1289,1327,1298,1342, 321,471,330,303,311,317, 180,48,2480,22, 25.4,22.1,1.1, 19,0,-99,28.2,28.6
23:41:42,36.5233,-121.6751, 1294,1299,1287,1325,1299,1340, 323,473,333,307,313,318, 180,48,2480,21, 25.3,21.8,1.1, 18,0,-99,28.2,28.6
23:41:48,36.5260,-121.6773, 1311,1315,1304,1343,1316,1358, 324,475,334,309,314,321, 179,48,2480,21, 25.2,21.0,1.2, 18,0,-99,28.2,28.6
23:41:54,36.5286,-121.6798, 1318,1320,1310,1349,1321,1363, 324,475,334,311,313,323, 178,48,2480,21, 25.1,20.9,1.2, 17,0,-99,28.2,28.6
23:42:00,36.5319,-121.6825, 1317,1321,1309,1348,1321,1363, 325,473,335,313,315,324, 176,47,2480,21, 25.0,20.9,1.3, 17,0,-99,28.2,28.6
23:42:06,36.5344,-121.6849, 1313,1320,1305,1346,1318,1364, 325,470,335,315,315,325, 176,46,2480,21, 24.9,20.9,1.3, 17,0,-99,28.2,28.6
23:42:12,36.5368,-121.6878, 1310,1318,1305,1343,1315,1360, 326,453,336,315,315,326, 177,46,2480,20, 24.8,21.0,1.3, 17,0,-99,28.2,28.6
23:42:18,36.5391,-121.6909, 1310,1315,1304,1343,1313,1362, 328,392,339,318,316,328, 177,46,2480,20, 24.8,21.0,1.4, 16,0,-99,28.2,28.6
23:42:30,36.5420,-121.6942, 1308,1315,1303,1343,1311,1361, 328,390,340,319,317,328, 178,46,2480,20, 24.7,20.9,1.4, 17,0,-99,28.2,28.6
23:42:36,36.5442,-121.6971, 1305,1310,1298,1337,1307,1355, 329,391,342,320,317,328, 178,45,2480,20, 24.6,21.0,1.4, 16,0,-99,28.2,28.6
23:42:42,36.5470,-121.7005, 1316,1319,1310,1347,1318,1363, 329,390,344,322,316,330, 178,45,2480,20, 24.5,20.4,1.5, 16,0,-99,28.2,28.6
23:42:48,36.5494,-121.7033, 1316,1319,1311,1349,1320,1366, 327,388,345,322,316,329, 179,45,2480,19, 24.5,20.4,1.5, 16,0,-99,28.2,28.6
23:42:54,36.5521,-121.7064, 1315,1319,1310,1346,1318,1363, 327,385,345,323,316,329, 180,45,2490,19, 24.4,20.4,1.5, 16,0,-99,28.2,28.6
23:43:00,36.5547,-121.7091, 1313,1318,1307,1341,1316,1360, 329,384,348,324,317,330, 180,45,2480,19, 24.3,20.5,1.6, 16,0,-99,28.2,28.6
23:43:06,36.5571,-121.7119, 1311,1314,1306,1339,1313,1358, 330,383,349,325,318,332, 180,45,2490,19, 24.2,20.4,1.6, 16,0,-99,28.2,28.6
23:43:12,36.5593,-121.7149, 1309,1313,1305,1339,1312,1357, 329,384,349,326,317,332, 181,45,2490,18, 24.1,20.5,1.7, 16,0,-99,28.2,28.6
23:43:18,36.5614,-121.7180, 1323,1328,1318,1351,1328,1371, 327,381,349,326,316,331, 182,45,2500,18, 24.1,19.2,1.7, 16,0,-99,28.2,28.6
23:43:24,36.5638,-121.7216, 1349,1352,1345,1379,1352,1393, 330,382,352,327,319,333, 182,45,2490,18, 24.0,18.9,1.7, 15,0,-99,28.2,28.6
23:43:30,36.5659,-121.7247, 1353,1359,1350,1382,1359,1400, 330,380,352,328,318,333, 182,45,2490,18, 23.9,18.9,1.8, 15,0,-99,28.2,28.6
23:43:36,36.5677,-121.7276, 1353,1359,1350,1382,1357,1401, 330,378,353,329,319,334, 182,45,2490,17, 23.8,18.9,1.8, 15,0,-99,28.2,28.6
23:43:42,36.5700,-121.7313, 1352,1357,1347,1382,1357,1400, 330,376,353,328,319,333, 183,44,2490,17, 23.8,18.9,1.8, 15,0,-99,28.2,28.6
23:43:48,36.5722,-121.7343, 1352,1357,1349,1381,1357,1399, 331,376,354,328,318,333, 183,44,2490,17, 23.7,18.9,1.9, 15,0,-99,28.2,28.6
23:43:54,36.5743,-121.7374, 1352,1354,1349,1380,1357,1396, 332,376,355,329,319,335, 184,44,2490,17, 23.7,19.0,1.9, 15,0,-99,28.2,28.6
23:44:00,36.5765,-121.7405, 1350,1353,1346,1377,1356,1396, 334,376,356,331,320,336, 184,44,2490,17, 23.6,18.9,1.9, 15,0,-99,28.3,28.6
23:44:06,36.5789,-121.7434, 1349,1353,1342,1376,1352,1394, 336,376,357,331,321,336, 184,44,2490,17, 23.6,18.9,2.0, 15,0,-99,28.2,28.6
