Avidyne Engine Data Log; DAU Software ID: 533
1/21/09 19:18:09
"TIME","LAT","LON","PALT","DALT","E1","E2","E3","E4","E5","E6","C1","C2","C3","C4","C5","C6","OILT","OILP","RPM","OAT","MAP","FF","USED","AMP1","AMP2","AMPB","MBUS","EBUS","TIT","DIN","DOUT"
19:18:06,-0.0000,-0.0000,-16000,-2000, 0,0,0,0,0,0, 0,0,0,0,0,0, -67,0,0,-58, 0.0,0.0,0.0, 0,0,-99,0.0,0.0,0, "0000000","0000000"
19:18:12,-0.0000,-0.0000,-121,-326, 968,937,1002,966,1100,1006, 111,111,102,112,110,111, 75,50,1090,14, 15.4,3.3,0.0, 19,0,3,27.9,27.0,1011, "0000011","0001000"
19:18:18,-0.0000,-0.0000,-120,-325, 981,954,1018,980,1116,1024, 115,115,105,116,114,116, 75,50,1100,14, 15.3,3.3,0.0, 19,0,2,27.9,27.0,1027, "0000011","0001000"
19:18:24,-0.0000,-0.0000,-118,-323, 990,963,1030,989,1123,1030, 119,119,108,120,118,120, 75,49,1100,14, 15.4,3.3,0.0, 21,0,2,27.9,26.9,1036, "0000011","0001000"
19:17:00,-0.0000,-0.0000,-118,-324, 999,977,1034,1000,1130,1042, 123,124,111,124,123,124, 75,49,1100,14, 15.4,3.3,0.0, 22,0,2,27.9,27.1,1039, "0000011","0001000"
19:17:06,-0.0000,-0.0000,-119,-325, 1003,983,1049,1009,1134,1044, 128,128,115,128,127,129, 75,49,1120,14, 15.3,3.3,0.0, 22,0,2,27.9,27.0,1050, "0000011","0001000"
19:17:12,-0.0000,-0.0000,-118,-323, 1006,991,1055,1021,1133,1053, 132,132,118,132,131,133, 75,49,1120,14, 15.3,3.3,0.0, 21,0,2,27.9,27.0,1051, "0000011","0001000"
19:17:18,-0.0000,-0.0000,-118,-323, 1009,998,1060,1030,1139,1062, 137,137,122,136,135,138, 75,49,1110,14, 15.4,3.3,0.0, 21,0,1,27.9,27.1,1059, "0000011","0001000"
19:17:24,-0.0000,-0.0000,-115,-320, 1016,1006,1063,1033,1142,1073, 141,141,126,140,140,142, 75,48,1120,14, 15.3,3.3,0.0, 21,0,1,27.9,27.0,1061, "0000011","0001000"
19:17:30,-0.0000,-0.0000,-116,-321, 1021,1014,1063,1038,1146,1076, 146,146,130,144,144,146, 75,48,1130,14, 15.3,3.3,0.0, 21,0,1,27.9,27.1,1065, "0000011","0001000"
19:17:36,39.2098,-125.5251,-114,-319, 1022,1021,1065,1046,1152,1082, 150,150,133,148,148,150, 75,48,1130,14, 15.4,3.4,0.0, 21,0,1,27.9,27.1,1069, "0000011","0001000"
19:17:42,39.2098,-125.5251,-115,-320, 1022,1022,1070,1058,1150,1089, 155,154,137,151,152,155, 75,48,1130,14, 15.3,3.3,0.0, 20,0,1,27.9,27.0,1071, "0000011","0001000"
19:17:48,39.2098,-125.5251,-115,-320, 1033,1031,1084,1071,1165,1098, 159,158,141,155,156,159, 75,48,1140,14, 15.3,3.3,0.1, 21,0,1,27.9,27.1,1094, "0000011","0001000"
19:17:54,39.2098,-125.5251,-114,-319, 1040,1036,1087,1071,1174,1101, 163,162,145,158,160,163, 75,48,1150,14, 15.3,3.3,0.1, 20,0,1,27.9,27.1,1092, "0000011","0001000"
19:18:00,39.2098,-125.5251,-114,-307, 1043,1041,1090,1081,1179,1104, 167,166,149,162,164,167, 75,48,1140,14, 15.3,3.3,0.1, 20,0,1,27.9,27.0,1096, "0000011","0001000"
19:18:06,39.2098,-125.5251,-112,-304, 1044,1042,1092,1083,1180,1110, 171,170,153,165,168,170, 75,48,1150,14, 15.3,3.3,0.1, 20,0,1,27.9,27.1,1095, "0000011","0001000"
19:18:12,39.2098,-125.5251,-113,-306, 1047,1042,1090,1077,1182,1112, 174,173,157,168,172,174, 75,48,1160,14, 15.3,3.3,0.1, 20,0,1,27.9,27.1,1095, "0000011","0001000"
19:18:18,39.2098,-125.5251,-111,-304, 1050,1045,1095,1074,1188,1109, 178,177,160,171,175,177, 75,48,1160,14, 15.3,3.3,0.1, 20,0,1,27.9,27.0,1103, "0000011","0001000"
19:18:24,39.2098,-125.5251,-111,-303, 1050,1047,1095,1075,1184,1113, 181,181,164,174,179,181, 75,49,1160,14, 15.3,3.3,0.1, 20,0,1,27.9,27.0,1098, "0000011","0001000"
19:18:30,39.2098,-125.5251,-111,-304, 1051,1051,1099,1078,1185,1115, 185,184,168,178,182,185, 75,49,1160,14, 15.3,3.3,0.1, 20,0,1,27.9,27.1,1103, "0000011","0001000"
19:18:36,39.2098,-125.5251,-110,-302, 1054,1051,1098,1078,1189,1120, 188,187,171,181,185,188, 75,49,1160,14, 15.3,3.3,0.1, 20,0,1,28.0,27.1,1104, "0000011","0001000"
19:18:42,39.2098,-125.5251,-110,-302, 1054,1050,1096,1079,1183,1120, 191,191,174,184,188,191, 76,49,1170,14, 15.3,3.3,0.1, 20,0,1,27.9,27.0,1102, "0000011","0001000"
19:18:48,39.2098,-125.5251,-109,-301, 1056,1050,1099,1081,1188,1117, 194,194,178,186,192,194, 78,49,1170,14, 15.3,3.3,0.1, 20,0,1,27.9,27.1,1109, "0000011","0001000"
19:18:54,39.2098,-125.5251,-108,-300, 1058,1050,1102,1079,1188,1123, 197,197,181,189,195,197, 80,49,1170,14, 15.3,3.3,0.1, 20,0,1,27.9,27.1,1109, "0000011","0001000"
