Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),FLAPS POSITION (Sensor V),GP Input 3,FUEL PRESSURE (PSI),PHEAT CONTACT (V),GP Input 6,GP Input 7,GP Input 8,LEFT LEVEL (gal),RIGHT LEVEL (gal),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,
3640.81,2,9,2019-03-30 12:28:44,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:43,+10.8,-0.7,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+14,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.6,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+371,+143,+359,+141,+319,+148,+362,,,-100,+4.995,,+23.6,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3641.06,2,9,2019-03-30 12:28:44,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:43,+10.8,-0.7,198.6,0.0,-125,+0.1,-0.01,+1.0,99,-8,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.6,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+370,+143,+359,+141,+318,+148,+362,,,-100,+4.995,,+23.6,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3641.31,2,10,2019-03-30 12:28:44,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:44,+10.7,-0.7,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+12,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.6,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+370,+143,+359,+141,+318,+148,+362,,,-100,+4.995,,+23.6,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3641.56,2,10,2019-03-30 12:28:44,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:44,+10.7,-0.7,198.6,0.0,-125,+0.1,-0.01,+1.0,99,-5,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.6,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+369,+143,+358,+141,+318,+148,+361,,,-100,+4.995,,+23.6,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3641.81,2,9,2019-03-30 12:28:45,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:44,+10.8,-0.7,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+22,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.5,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+369,+143,+358,+141,+317,+148,+361,,,-100,+4.995,,+23.5,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3642.06,2,9,2019-03-30 12:28:45,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:44,+10.8,-0.7,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+11,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.5,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+368,+143,+357,+141,+317,+148,+360,,,-100,+4.995,,+23.5,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3642.31,2,10,2019-03-30 12:28:45,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:45,+10.7,-0.6,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+38,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.5,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+368,+143,+357,+141,+317,+148,+360,,,-100,+4.995,,+23.5,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3642.56,2,10,2019-03-30 12:28:45,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:45,+10.7,-0.6,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+10,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.5,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+368,+143,+357,+141,+317,+148,+359,,,-100,+4.995,,+23.5,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3642.81,2,9,2019-03-30 12:28:46,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:45,+10.7,-0.6,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+52,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.5,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+367,+143,+356,+141,+316,+148,+359,,,-100,+4.995,,+23.5,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
3643.06,2,10,2019-03-30 12:28:46,+40.52908,-78.64901,26,0.0,280.8,+11.8,-0.17,KTGI,67.3,212.4,12:28:45,+10.7,-0.6,198.6,0.0,-125,+0.1,-0.01,+1.0,99,+24,+16,0.0,30.06,-49,,,96,+2600,120.0,-500,224,0,0,5.0,-3,-99,,,,+10,,,-2,,,,,,,,,0,+77,0,0,30.6,0.0,0.0,23.5,15.7,14.0,35.1,12.3,,-2.9,18.1,14.8,,,,,+145,+367,+143,+356,+141,+316,+148,+358,,,-100,+4.995,,+23.5,+4.998,,,,+15.7,+14.0,+0.0,+77.0,,,,,
