#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SF50", unit_software_part_number="006-B1177-7Q", unit_software_version="21.45", system_software_part_number="", system_id="000000000", mode=NORMAL, flightstream_header="000000000_0000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,  ft lbs,       %,   deg C,       %,       %,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 Torq,   E1 NG,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,      ,       ,       ,     0.90,        ,        ,       ,       ,        ,        ,        ,  117.88,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.27,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,      ,       ,       ,     0.90,        ,        ,       ,       ,        ,        ,        ,  117.88,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2024-08-10, 10:46:39,  -05:00,       ,             ,             ,  5787.9, 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,      ,       ,       ,     0.90,        ,        ,       ,       ,        ,        ,        ,  117.75,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-10, 10:46:40,  -05:00,       ,             ,             ,  5787.9, 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  26.1,  25.4, -16.6,  -6.1, 147.79, 147.59,     0.88,  128.89,    0.04,       ,       ,        ,        ,        ,  117.75,    0.00,    0.00,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-10, 10:46:41,  -05:00,       ,             ,             ,  5787.9, 30.27,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  26.1,  25.3, -16.8,  -6.0, 147.80, 147.57,     0.88,  128.89,    0.05,       ,       ,        ,        ,        ,  117.62,    0.00,    0.00,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-10, 10:46:42,  -05:00,       ,             ,             ,  5787.9, 30.27,        ,  19.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  26.0,  25.3, -17.7,  -6.0, 147.82, 147.56,     0.88,  128.88,    0.06,       ,       ,        ,        ,        ,  117.62,    0.00,    0.00,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-10, 10:46:43,  -05:00,       ,             ,             ,  5786.9, 30.27,        ,  19.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  26.0,  25.3, -18.5,  -6.0, 147.83, 147.54,     0.88,  128.88,    0.04,       ,       ,        ,        ,        ,  117.62,    0.00,    0.00,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-10, 10:46:44,  -05:00,       ,             ,             ,  5786.9, 30.27,        ,  19.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  26.0,  25.3, -18.7,  -6.0, 147.84, 147.51,     0.88,  128.87,    0.02,       ,       ,        ,        ,        ,  117.62,    0.00,    0.00,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  155.0, 110.10, 110.10, 132.750, 121.800,       ,       ,       ,       ,       ,       ,    7.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
