#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N1234X",unit_software_part_number="006-B1727-40",software_version="9.51",system_id="6000ABCD01234",unit="PFD1",airframe_hours="0.3",engine_hours="1.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),AFCS Attitude Status,Network Status,Transponder Code,Transponder Mode,Engine Power (%),Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Coolant Temp (deg F),Man Temp (deg F),Flap Position,Fuel Qty L (gal),Fuel Qty R (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Volts,Efis Bkup Volts,Nav Bkup Volts,Amps,Batt Amps,Feed Psi,Co Ppm,EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EFIS ON BKUP (discrete),NAV ON BKUP (discrete),ARM BKUP (discrete),PITOT HEAT (discrete),FPCM FAULT (discrete),CHECK FUEL (discrete),EARTH X FAIL (discrete),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,,E1 %Pwr,E1 MAP,E1 RPM,E1 OilP,E1 OilT,,E1 CarbT,Flaps,FQty1,FQty2,E1 FFlow,E1 FPres,PTrim,Volts1,,,Amps1,Amps2,,,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,,,,,,,
2026-09-02,14:03:37,21:03:37,-07:00,+39.0809173,-114.1004277,478,3D-,335035.4,0.0,,0,0,0.03,,636,20,4,164,301,8,15.9,16,,,-0.002,0.998,-0.087,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,25.0,1364,,,,081131F8 A39 A0 * 01000000,,,,3,,,,1200,ALT,,,,,,,,0,12,11,,0.2,1,13.3,13.2,13.0,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:03:39,21:03:39,-07:00,+39.0809195,-114.1004199,478,3D-,335036.6,0.0,,0,0,0.02,,223,20,4,163,301,1,15.8,16,,,-0.002,0.998,-0.094,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,25.0,1364,,,,081131F8 A42 A0 * 01000000,,,,3,,,,1200,ALT,,,,,,,,0,12,11,,0.2,1,13.3,13.2,13.0,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:03:40,21:03:40,-07:00,+39.0809194,-114.1004195,478,3D-,335037.6,0.0,,0,0,0.01,,166,20,4,163,301,-5,15.8,16,,,-0.002,0.998,-0.102,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00008001 00000000,,,,,,,,,,,,,-12.8,25.0,1363,,,,081131F8 A45 A0 * 01000000,,,,3,,,,1200,ALT,,,,,,,,0,12,11,,0.2,1,13.3,13.2,13.0,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:03:41,21:03:41,-07:00,+39.0809146,-114.1004270,478,3D-,335038.6,0.0,,0,0,0.00,,134,20,4,163,300,-10,15.8,16,,,-0.002,0.998,-0.108,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1363,,,,081131F8 A48 A0 * 01000000,,,,3,,,,1200,ALT,,,,,,,,0,12,11,,0.2,1,13.3,13.2,12.9,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:03:42,21:03:42,-07:00,+39.0809112,-114.1004334,478,3D-,335039.6,0.0,,0,0,0.00,,117,20,4,163,301,-7,15.7,16,,,-0.002,0.998,-0.115,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1363,,,,081131F8 A51 A0 * 01000000,,,,3,,,,1200,ALT,,,,,,,,0,12,11,,0.2,1,13.3,13.2,12.9,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:03:43,21:03:43,-07:00,+39.0809109,-114.1004361,478,3D-,335040.6,0.0,,0,0,0.00,,107,20,4,164,301,0,15.8,16,,,-0.002,0.999,-0.114,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1363,,,,081131F8 A54 A0 * 01000000,,,,2,,,,1200,ALT,,,,,,,,0,12,11,,0.2,1,13.3,13.2,12.9,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:03:44,21:03:44,-07:00,+39.0809097,-114.1004396,478,3D-,335041.6,0.0,,0,0,0.00,,99,20,4,163,301,1,15.9,16,,,-0.003,0.999,-0.110,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1363,,,,081131F8 A57 A0 * 01000000,,,,3,,,,1200,ALT,,,,,,,,0,12,11,,0.2,1,13.3,13.2,12.9,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU,
2026-09-02,14:03:45,21:03:45,-07:00,+39.0809073,-114.1004424,478,3D-,335042.6,0.0,,0,0,0.00,,92,20,4,163,300,-6,15.9,16,,,-0.002,0.998,-0.106,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1363,,,,081131F8 A60 A0 * 01000000,,,,2,,,,1200,ALT,,2.9,0,0,,,,0,12,11,,0.2,1,13.3,13.2,12.9,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:03:46,21:03:46,-07:00,+39.0809029,-114.1004463,478,3D-,335043.6,0.0,,0,0,0.00,,85,20,4,163,300,-7,15.9,16,,,-0.001,0.998,-0.099,,211,,,,30.07,122.700,,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1362,,,,081131F8 A63 A0 * 01000000,,,,3,,,,1200,ALT,0,10.1,0,0,37,37,37,0,12,11,0.0,0.2,1,13.3,13.1,12.9,1,-1,15.3,254,90,90,90,90,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / NO AOA CAL,
